"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"17-Sep-2024","EQ","1,028.70","1,039.35","1,011.60","1,021.35","1,019.00","1,019.50","1,025.78","1,189.00","425.55","4,51,610","46,32,50,415.15","27,339"
"16-Sep-2024","EQ","1,035.25","1,074.00","1,014.00","1,021.15","1,021.00","1,021.35","1,024.39","1,189.00","425.55","5,82,345","59,65,48,224.85","30,429"
"13-Sep-2024","EQ","999.90","1,034.00","987.00","999.50","1,019.00","1,021.15","1,009.82","1,189.00","425.55","10,02,671","1,01,25,17,804.60","46,174"
"12-Sep-2024","EQ","994.80","1,007.65","984.80","986.00","996.00","999.50","992.33","1,189.00","425.55","2,95,532","29,32,63,894.10","16,831"
"11-Sep-2024","EQ","999.90","1,004.50","980.35","993.80","987.70","986.00","989.27","1,189.00","425.55","4,56,264","45,13,69,603.25","25,080"
"10-Sep-2024","EQ","1,005.95","1,009.00","987.10","996.90","994.00","993.80","995.02","1,189.00","425.55","3,68,565","36,67,30,502.65","27,825"
"09-Sep-2024","EQ","989.70","1,005.00","974.10","989.60","998.70","996.90","990.90","1,189.00","425.55","7,76,845","76,97,77,638.60","43,545"
"06-Sep-2024","EQ","1,010.00","1,019.15","980.05","1,004.00","991.00","989.60","995.59","1,189.00","425.55","4,16,325","41,44,87,225.70","29,338"
"05-Sep-2024","EQ","1,016.50","1,038.80","1,000.10","1,007.40","1,009.90","1,004.00","1,014.74","1,189.00","425.55","5,90,610","59,93,16,964.95","34,400"
"04-Sep-2024","EQ","1,008.00","1,021.90","998.00","1,013.40","1,014.00","1,007.40","1,008.37","1,189.00","425.55","7,52,797","75,91,01,225.25","49,187"
"03-Sep-2024","EQ","1,029.95","1,033.35","1,005.90","1,023.65","1,011.00","1,013.40","1,015.09","1,189.00","425.55","5,42,593","55,07,82,001.20","36,011"
"02-Sep-2024","EQ","1,044.95","1,057.25","1,015.45","1,038.60","1,023.00","1,023.65","1,040.14","1,189.00","425.55","14,99,008","1,55,91,82,827.25","56,304"
"30-Aug-2024","EQ","1,035.90","1,052.00","1,024.20","1,034.25","1,037.00","1,038.60","1,035.54","1,189.00","412.35","14,60,154","1,51,20,44,716.30","63,850"
"29-Aug-2024","EQ","1,073.00","1,078.90","1,028.00","1,073.25","1,036.45","1,034.25","1,050.69","1,189.00","412.35","9,51,475","99,97,09,591.00","48,484"
